payment_id,customer_id,payment_date,payment_amount,payment_method,check_number,bank_reference,remittance_name,invoice_reference,applied_flag,applied_date,applied_amount,unapplied_amount,payment_type,status,batch_session,batch_id,created_date,updated_date,updated_time,updated_by
500988,100455,2024-10-31,,,             RE,F620546385             Ba,rber Ltd,,2,1904-10-31,4742.28,, 7,18,,20241031-124103,,,,
500989,100229,2024-06-10,,,             RE,F678169847             La,ne Ltd,,2,1904-06-10,49072.42,, 9,68,,20240610-124061,,,,
500990,100161,2023-09-30,,98,70,                       Ev,ans-Joyce,,2,1903-09-30,14451.98,, 3,12,,20230930-123093,,,,
500991,100198,2024-08-19,,,             RE,F241979356             Be,nnett Group,,2,1904-08-19,311.41,, 9,70,,20240819-124081,,,,ON
500992,100167,2023-06-07,,,             RE,F345151679             Ib,arra Inc,,0,,130.28,, 5,59,,20230607-123060,,,,
500993,100369,2024-10-28,,,             RE,F594616382             Mo,"ran, King and Costa",,2,1904-10-28,807.89,, 7,59,,20241028-124102,,,,
500994,100033,2024-12-28,,,             RE,F580392042             Mi,tchell and Sons,,2,1904-12-28,1058.03,, 8,39,,20241228-124122,,,,ON
500995,100422,2023-07-20,,80,19,                       Ce,rvantes PLC,,2,1903-07-20,1684.04,, 9,54,,20230720-123072,,,,N
500996,100477,2023-12-06,,,             RE,F931519347             Kr,ause Ltd,,2,1903-12-06,39348.97,, 3,29,,20231206-123120,,,,
500997,100310,2024-07-04,,96,95,                       Ma,"ddox, Perez and Watkins",,2,1904-07-04,1232.05,, 3,64,,20240704-124070,,2008-08-09,,
500998,100087,2024-05-15,,48,21,                       St,okes-Mills,,0,,704.94,, 1,31,,20240515-124051,,2008-01-12,,
500999,100469,2024-10-28,,,             RE,F568323100             Re,"ed,",,2,1904-10-28,6433.17,, 3,91,,20241028-124102,,,,
501000,100333,2023-05-13,,,,                       Re,"yes, Foster and Williams",,2,1903-05-13,8657.89,, 3,16,,20230513-123051,,,,
501001,100082,2023-06-09,,23,28,                       Co,nley Ltd,,0,,42387.42,, 2,99,,20230609-123060,,,,N
501002,100020,2024-04-17,,,             RE,F558782062             Ry,an-Reed,,2,1904-04-17,0.0,, 1,44,,20240417-124041,,,,ON
501003,100386,2023-12-18,,54,53,                       Tu,"cker, Mcdonald and Sloan",,0,,8380.57,, 1,09,,20231218-123121,,,,N
501004,100069,2024-11-13,,64,08,                       Sa,"nchez, Phillips and Jenkins",,2,1904-11-13,386.66,, 3,33,,20241113-124111,,,,N
501005,100018,2024-07-24,,50,36,                       JO,HNSTON-HINES,,2,1904-07-24,44721.93,, 8,14,,20240724-124072,,,,
501006,100190,2023-06-20,,,             RE,F618051194             Gr,iffith and Sons,,2,1903-06-20,613.78,, 6,11,,20230620-123062,,,,
501007,100398,2024-06-02,,84,21,                       Go,mez-Smith,,2,1904-06-02,672.65,, 1,17,,20240602-124060,,,,
501008,100201,2023-12-09,,,             RE,F584212896             Th,"omas, Harris and Soto",,2,1903-12-09,2760.91,, 3,57,,20231209-123120,,,,
501009,100320,2024-12-13,,,             RE,F775038442             Jo,nes-White,,2,1904-12-13,1285.33,, 3,95,,20241213-124121,,,,
501010,100364,2024-02-23,,,             RE,F648582501             Ra,"mirez, Carter and Obrien",,2,1904-02-23,4620.89,, 6,61,,20240223-124022,,2001-04-21,,
501011,100263,2023-04-08,,,             RE,F336323004             Wi,llis-Watson,,2,1903-04-08,3549.22,, 5,73,,20230408-123040,,,,
501012,100171,2024-11-21,,,,                       Ch,apman-Henry,,0,,485.37,, 4,51,,20241121-124112,,,,
501013,100082,2023-05-20,,,             RE,F774973444             Co,nley Ltd,,2,1903-05-20,5835.79,, 7,76,,20230520-123052,,,,
501014,100197,2024-07-28,,,             RE,F541300882             Cl,"ark, Oconnor and Cochran",,2,1904-07-28,0.0,, 6,27,,20240728-124072,,,,ON
501015,100081,2024-07-22,,,             RE,F576803874             Wh,eeler Inc,,2,1904-07-22,1304.47,, 3,62,,20240722-124072,,,,N
501016,100272,2024-11-23,,,             RE,F300128992             Wa,"llace, Allen and Thompson",,2,1904-11-23,0.0,, 2,81,,20241123-124112,,,,
501017,100440,2023-10-30,,,             RE,F931879726             Da,vis-Harris,,2,1903-10-30,1313.34,, 8,64,,20231030-123103,,,,
501018,100222,2024-08-07,,23,56,                       Sm,"ith, Randolph and Garcia",,0,,0.0,, 5,74,,20240807-124080,,,,
501019,100341,2024-12-16,,,             RE,F541709741             BR,"OCK, MCGUIRE AND MILLER",,2,1904-12-16,585.97,, 1,33,,20241216-124121,,,,ON
501020,100168,2023-08-08,,,,                       Ri,"chard, Hall and Evans",,2,1903-08-08,8070.35,, 5,02,,20230808-123080,,,,
501021,100381,2023-12-12,,,             RE,F936351916             Fr,"ancis, Lewis and Carter",,2,1903-12-12,0.0,, 4,37,,20231212-123121,,,,
501022,100457,2024-09-07,,89,05,                       Sa,"nchez, Gomez and Lindsey",,2,1904-09-07,1385.86,, 6,71,,20240907-124090,,,,
501023,100051,2024-11-22,,,             RE,F318447662             Jo,nes and Sons,,2,1904-11-22,0.0,, 6,59,,20241122-124112,,,,
501024,100173,2024-09-22,,89,45,                       Ca,"mpbell, Martin and Ferguson",,2,1904-09-22,6904.67,, 6,34,,20240922-124092,,2003-11-29,,ON
501025,100497,2024-03-10,,,             RE,F263572179             To,rres and Sons,,2,1904-03-10,22518.04,, 4,30,,20240310-124031,,,,
501026,100474,2024-09-27,,,             RE,F243855788             CL,"AYTON, DEAN AND GAINES",,2,1904-09-27,985.67,, 1,67,,20240927-124092,,,,ON
501027,100287,2024-11-17,,82,37,                       Pe,"ters, Collins and Leblanc",,2,1904-11-17,0.0,, 6,49,,20241117-124111,,,,
501028,100040,2023-08-03,,,             RE,F598889754             Pe,ck-Griffith,,2,1903-08-03,0.0,, 2,72,,20230803-123080,,,,N
501029,100450,2024-07-16,,,             RE,F926870236             Fe,rguson LLC,,0,,0.0,, 8,00,,20240716-124071,,,,N
501030,100438,2023-08-15,,98,83,                       Ve,"lasquez, Harris and Roberts",,2,1903-08-15,678.01,, 9,10,,20230815-123081,,2015-01-21,,ON
501031,100067,2024-04-14,,,             RE,F270887083             Br,"adley, Graham and Brandt",,2,1904-04-14,1087.03,, 6,19,,20240414-124041,,,,
501032,100309,2024-01-19,,,             RE,F439122333             Be,nton Ltd,,2,1904-01-19,9237.34,, 7,76,,20240119-124011,,,,
501033,100381,2023-06-16,,,             RE,F976545179             Fr,"ancis, Lewis and Carter",,2,1903-06-16,8523.7,, 9,41,,20230616-123061,,2002-09-27,,
501034,100306,2023-05-27,,,             RE,F658829062             Ma,"rks, Hartman and Rodriguez",,2,1903-05-27,1716.41,, 2,52,,20230527-123052,,,,
501035,100120,2024-07-24,,48,27,                       Ha,"rt, Stone and Welch",,2,1904-07-24,0.0,, 6,31,,20240724-124072,,2021-01-02,,ON
501036,100011,2023-11-17,,,             RE,F987972756             Gr,"iffin, Moore and Hensley",,2,1903-11-17,1063.9,, 2,55,,20231117-123111,,,,
501037,100233,2023-10-26,,71,71,                       Wa,"shington, Nelson and Stone",,2,1903-10-26,6411.28,, 7,96,,20231026-123102,,,,N
501038,100137,2023-03-27,,,             RE,F411845408             Wh,"itehead, Lane and Tran",,2,1903-03-27,6474.34,, 1,39,,20230327-123032,,,,
501039,100267,2024-12-13,,,,                       Pa,"rks, King and Rogers",,2,1904-12-13,871.98,, 5,61,,20241213-124121,,,,
501040,100421,2024-05-05,,71,39,                       Th,omas Inc,,2,1904-05-05,1374.31,, 6,54,,20240505-124050,,,,ON
501041,100471,2023-11-07,,,             RE,F373703825             Yo,ung-Grant,,2,1903-11-07,2008.26,, 8,22,,20231107-123110,,2019-10-23,,ON
501042,100009,2023-09-25,,,             RE,F533225629             Ca,rpenter LLC,,2,1903-09-25,871.21,, 6,87,,20230925-123092,,,,ON
501043,100294,2023-10-13,,,,                       Be,rry-Rush,,2,1903-10-13,4702.58,, 7,31,,20231013-123101,,,,
501044,100331,2024-02-19,,,             RE,F597062014             St,"rong,",,0,,6730.45,, 8,98,,20240219-124021,,2001-09-27,,
501045,100492,2024-12-03,,,,                       My,ers and Sons,,2,1904-12-03,10405.92,, 7,87,,20241203-124120,,,,
501046,100317,2024-07-14,,,             RE,F141285685             Th,ompson-Morales,,2,1904-07-14,0.0,, 1,66,,20240714-124071,,,,
501047,100349,2023-06-21,,,             RE,F158062194             Mo,ntoya-Robinson,,2,1903-06-21,432.47,, 3,03,,20230621-123062,,,,
501048,100109,2023-07-06,,,             RE,F218823280             Wa,lker-Robbins,,2,1903-07-06,26402.25,, 1,18,,20230706-123070,,,,
501049,100318,2024-06-18,,,,                       Wi,lson-Dennis,,0,,9814.77,, 2,40,,20240618-124061,,,,
501050,100163,2023-06-24,,,,                       Wi,lliams-Smith,,2,1903-06-24,9830.02,, 8,39,,20230624-123062,,,,
501051,100170,2024-12-28,,,             RE,F217650233             Ha,rrington-Alvarez,,0,,505.67,, 4,82,,20241228-124122,,,,
501052,100352,2024-01-04,,92,66,                       Ha,le Inc,,2,1904-01-04,788.77,, 6,48,,20240104-124010,,,,N
501053,100175,2023-12-09,,30,40,                       Fo,"ley, Ibarra and Daniel",,0,,444.83,, 2,55,,20231209-123120,,,,N
501054,100441,2023-06-14,,,             RE,F918496535             Ho,od Ltd,,2,1903-06-14,352.06,, 6,55,,20230614-123061,,,,
501055,100339,2024-09-05,,,             RE,F965212428             Ev,ans-Pearson,,2,1904-09-05,1021.05,, 4,09,,20240905-124090,,,,N
501056,100173,2024-03-28,,,             RE,F143555170             Ca,"mpbell, Martin and Ferguson",,2,1904-03-28,7649.36,, 2,22,,20240328-124032,,2017-04-27,,
501057,100379,2023-06-30,,26,06,                       Th,ompson Inc,,2,1903-06-30,8821.51,, 8,21,,20230630-123063,,1907-03-27,,
501058,100029,2024-09-22,,61,34,                       St,evens Inc,,2,1904-09-22,409.21,, 5,88,,20240922-124092,,,,
501059,100146,2024-01-01,,66,57,                       Tu,rner Inc,,2,1904-01-01,564.55,, 2,71,,20240101-124010,,,,
501060,100395,2023-07-20,,,,                       Tr,"ujillo, Johnson and Anderson",,2,1903-07-20,1871.46,, 1,48,,20230720-123072,,,,
501061,100141,2023-09-28,,93,71,                       HE,RNANDEZ-WEST,,2,1903-09-28,0.0,, 6,32,,20230928-123092,,,,ON
501062,100065,2024-07-20,,87,35,                       Jo,"nes, Gibson and Ward",,2,1904-07-20,0.0,, 6,81,,20240720-124072,,,,
501063,100271,2024-02-03,,,             RE,F239857575             Do,uglas-Vega,,2,1904-02-03,277.59,, 4,47,,20240203-124020,,,,
501064,100439,2023-04-11,,,             RE,F686015094             Bl,ackwell LLC,,2,1903-04-11,1220.78,, 1,39,,20230411-123041,,2020-09-27,,
501065,100253,2023-06-27,,12,09,                       In,"gram, Green and Stewart",,2,1903-06-27,2767.08,, 1,11,,20230627-123062,,,,
501066,100430,2024-04-08,,19,53,                       Pi,"ttman, Hines and Carr",,2,1904-04-08,0.0,, 3,56,,20240408-124040,,,,N
501067,100422,2023-12-26,,,             RE,F901123448             CE,RVANTES PLC,,2,1903-12-26,1068.66,, 3,22,,20231226-123122,,,,
501068,100059,2024-04-05,,,             RE,F411873283             Si,"mpson, Cohen and Perry",,0,,1519.43,, 7,18,,20240405-124040,,,,N
501069,100183,2023-12-04,,,             RE,F948121710             Jo,"hnson, Floyd and Weeks",,0,,529.55,, 6,78,,20231204-123120,,,,
501070,100348,2024-06-18,,,             RE,F837978985             No,rris,,2,1904-06-18,18849.92,, 6,68,,20240618-124061,,,,
501071,100091,2024-08-30,,,             RE,F836226646             Th,"omas, Byrd and Sloan",,2,1904-08-30,32987.95,, 5,26,,20240830-124083,,,,
501072,100394,2024-02-21,,26,43,                       Ag,"uirre, Clark and Edwards",,0,,423.79,, 2,72,,20240221-124022,,,,
501073,100476,2024-12-07,,78,82,                       Jo,"hnson, Jackson and Scott",,2,1904-12-07,1480.53,, 7,57,,20241207-124120,,,,
501074,100477,2023-10-02,,39,74,                       Kr,ause Ltd,,2,1903-10-02,8700.22,, 6,35,,20231002-123100,,,,N
501075,100052,2024-01-05,,,             RE,F802791673             Kn,ight-Hodge,,2,1904-01-05,0.0,, 2,69,,20240105-124010,,,,
501076,100044,2024-12-24,,,             RE,F664993451             De,lgado-Gilmore,,2,1904-12-24,539.5,, 5,90,,20241224-124122,,,,N
501077,100043,2023-08-19,,,             RE,F670388435             Bu,sh-Vaughn,,2,1903-08-19,1399.7,, 1,50,,20230819-123081,,,,
501078,100297,2023-12-06,,,             RE,F214872589             Jo,"hnson, Rasmussen and Cruz",,2,1903-12-06,0.0,, 9,64,,20231206-123120,,2013-01-26,,
501079,100397,2023-04-10,,33,22,                       Go,rdon LLC,,2,1903-04-10,7793.55,, 5,35,,20230410-123041,,1904-09-11,,N
501080,100022,2024-09-14,,,,                       La,ndry-Huerta,,2,1904-09-14,659.12,, 8,38,,20240914-124091,,,,
501081,100176,2024-09-25,,,             RE,F171764722             Da,"vis, Castillo and Morton",,0,,157.0,, 2,29,,20240925-124092,,,,
501082,100423,2024-09-25,,62,89,                       Jo,hnston Ltd,,0,,1696.85,, 9,79,,20240925-124092,,,,
501083,100269,2024-02-17,,,,                       Wi,"lcox, Matthews and Walters",,2,1904-02-17,1557.15,, 1,43,,20240217-124021,,,,
501084,100179,2024-02-23,,11,35,                       We,lch LLC,,2,1904-02-23,1379.47,, 2,12,,20240223-124022,,,,
501085,100133,2023-08-27,,59,64,                       Al,"len, Price and Sparks",,2,1903-08-27,366.57,, 8,88,,20230827-123082,,,,
501086,100420,2024-02-27,,47,25,                       Ro,driguez and Sons,,2,1904-02-27,8985.06,, 5,90,,20240227-124022,,,,N
501087,100269,2024-12-12,,,,                       Wi,"lcox, Matthews and Walters",,2,1904-12-12,1926.57,, 3,40,,20241212-124121,,,,
501088,100218,2024-02-09,,,             RE,F462490316             Jo,nes PLC,,2,1904-02-09,227.48,, 4,73,,20240209-124020,,,,N
501089,100004,2024-10-01,,,,                       Br,own Inc,,2,1904-10-01,354.08,, 4,46,,20241001-124100,,,,
501090,100361,2024-07-23,,67,38,                       Ag,uilar-Martin,,2,1904-07-23,718.02,, 5,54,,20240723-124072,,,,
501091,100441,2023-04-28,,73,88,                       Ho,od Ltd,,2,1903-04-28,898.85,, 8,38,,20230428-123042,,,,N
501092,100266,2024-09-05,,,             RE,F637524864             Ho,"lmes, Rodriguez and Drake",,2,1904-09-05,8546.56,, 7,83,,20240905-124090,,,,
501093,100389,2024-02-29,,,             RE,F560501922             Fl,ores-Estrada,,2,1904-02-29,2457.74,, 1,63,,20240229-124022,,,,ON
501094,100103,2024-09-06,,,,                       SH,"EPPARD, GUTIERREZ AND WHITE",,2,1904-09-06,1194.28,, 5,18,,20240906-124090,,2000-08-31,,
501095,100245,2024-11-01,,,             RE,F469169647             Ab,bott-Wallace,,2,1904-11-01,226.48,, 3,44,,20241101-124110,,2005-05-23,,ON
501096,100116,2024-09-15,,,,                       Br,"ooks, Christian and Henry",,2,1904-09-15,336.66,, 9,92,,20240915-124091,,,,N
501097,100339,2023-08-10,,,             RE,F828013943             Ev,ans-Pearson,,2,1903-08-10,708.5,, 9,48,,20230810-123081,,,,
501098,100217,2024-02-02,,29,09,                       Mo,sley-Gordon,,2,1904-02-02,2892.61,, 9,39,,20240202-124020,,,,
501099,100143,2024-01-02,,,             RE,F815045890             Th,ompson-Murray,,2,1904-01-02,9080.66,, 9,16,,20240102-124010,,2022-12-14,,
501100,100090,2023-11-13,,58,95,                       Jo,hnson Ltd,,2,1903-11-13,0.0,, 4,47,,20231113-123111,,,,
501101,100036,2023-12-05,,,,                       Ga,rcia-Murphy,,0,,6320.24,, 6,94,,20231205-123120,,2007-02-19,,N
501102,100051,2024-03-06,,,             RE,F888269365             Jo,nes and Sons,,2,1904-03-06,27700.72,, 3,76,,20240306-124030,,,,
501103,100102,2024-03-11,,,             RE,F223525915             Fr,"ederick, Scott and Smith",,2,1904-03-11,0.0,, 2,09,,20240311-124031,,,,
501104,100022,2023-06-12,,,,                       La,ndry-Huerta,,2,1903-06-12,0.0,, 3,35,,20230612-123061,,,,
501105,100437,2024-04-02,,64,01,                       St,eele-Yates,,2,1904-04-02,3598.74,, 8,76,,20240402-124040,,,,
501106,100290,2024-05-19,,58,12,                       GA,TES-COOK,,0,,1813.45,, 9,60,,20240519-124051,,2002-01-12,,
501107,100438,2024-12-19,,15,08,                       Ve,"lasquez, Harris and Roberts",,2,1904-12-19,405.23,, 9,66,,20241219-124121,,,,
501108,100007,2023-04-07,,62,21,                       Ri,"ce, Contreras and Spencer",,2,1903-04-07,0.0,, 5,46,,20230407-123040,,,,
501109,100237,2023-04-09,,,             RE,F436120286             Ho,we LLC,,2,1903-04-09,1713.74,, 2,47,,20230409-123040,,,,
501110,100189,2024-01-01,,,             RE,F739192821             Ge,"orge, Bautista and Stevenson",,2,1904-01-01,3928.58,, 7,11,,20240101-124010,,,,
501111,100012,2023-07-08,,,             RE,F807452197             Fr,eeman LLC,,0,,0.0,, 1,82,,20230708-123070,,,,
501112,100018,2024-10-27,,64,06,                       Jo,hnston-Hines,,2,1904-10-27,11029.61,, 5,45,,20241027-124102,,,,
501113,100229,2023-04-24,,,,                       La,ne Ltd,,2,1903-04-24,30537.11,, 9,74,,20230424-123042,,,,
501114,100228,2024-01-28,,,             RE,F583902586             Wi,"lliams, Evans and Riggs",,2,1904-01-28,0.0,, 7,01,,20240128-124012,,,,
501115,100260,2024-08-04,,97,75,                       Hi,"ll, Mendoza and Williams",,2,1904-08-04,19654.62,, 3,82,,20240804-124080,,,,ON
501116,100386,2024-04-05,,95,51,                       Tu,"cker,",,2,1904-04-05,8706.2,, 5,74,,20240405-124040,,,,
501117,100106,2023-04-18,,50,46,                       Jo,nes-Harrison,,2,1903-04-18,885.93,, 8,97,,20230418-123041,,,,N
501118,100084,2023-10-27,,43,40,                       Br,"own,",,2,1903-10-27,217.34,, 2,38,,20231027-123102,,,,
501119,100405,2024-11-06,,,             RE,F592875564             Mc,"clure, Ramirez and Brown",,2,1904-11-06,2978.29,, 8,12,,20241106-124110,,,,ON
501120,100317,2024-05-08,,,             RE,F791062191             Th,ompson-Morales,,2,1904-05-08,0.0,, 2,38,,20240508-124050,,,,ON
501121,100216,2024-02-23,,61,45,                       Br,own LLC,,2,1904-02-23,41104.2,, 5,78,,20240223-124022,,,,
501122,100108,2023-11-05,,77,04,                       Ma,"rtin, Schmidt and Cole",,2,1903-11-05,2020.46,, 3,97,,20231105-123110,,2022-12-21,,
501123,100020,2024-07-03,,,             RE,F190060404             Ry,an-Reed,,2,1904-07-03,256.25,, 4,80,,20240703-124070,,,,
501124,100385,2023-07-26,,,,                       Pa,dilla Inc,,2,1903-07-26,932.69,, 4,15,,20230726-123072,,2008-09-24,,ON
501125,100135,2023-07-21,,,             RE,F897019576             Co,"le, Allen and Thompson",,2,1903-07-21,773.33,, 7,51,,20230721-123072,,,,N
501126,100030,2024-04-25,,,             RE,F359567551             Gl,"ass, Cunningham and Reid",,2,1904-04-25,611.38,, 5,73,,20240425-124042,,,,
501127,100268,2024-07-11,,,             RE,F117561022             Jo,hnson-Clements,,2,1904-07-11,12012.59,, 9,53,,20240711-124071,,,,N
501128,100017,2024-03-13,,,             RE,F733846797             Wa,rner-Gibson,,2,1904-03-13,1213.45,, 3,92,,20240313-124031,,,,
501129,100484,2024-08-26,,64,35,                       Mo,ore LLC,,2,1904-08-26,4636.98,, 8,97,,20240826-124082,,,,
501130,100159,2023-11-15,,84,81,                       Ca,"rson, Elliott and Alvarado",,0,,1951.32,, 6,24,,20231115-123111,,,,
501131,100223,2024-07-09,,56,96,                       Al,len-Beltran,,2,1904-07-09,2105.03,, 2,82,,20240709-124070,,,,
501132,100469,2023-09-09,,70,86,                       Re,"ed, Eaton and Crawford",,2,1903-09-09,1345.08,, 2,73,,20230909-123090,,,,
501133,100298,2024-08-08,,,             RE,F194691475             Or,tiz-Smith,,0,,3226.32,, 7,48,,20240808-124080,,,,
501134,100391,2023-07-14,,,             RE,F617408797             Ta,ylor-Green,,2,1903-07-14,2106.69,, 6,77,,20230714-123071,,,,
501135,100200,2024-02-26,,,,                       Sh,ah PLC,,2,1904-02-26,0.0,, 4,24,,20240226-124022,,,,N
501136,100094,2024-05-24,,28,88,                       Ho,oper LLC,,0,,1985.9,, 8,36,,20240524-124052,,,,
501137,100188,2024-11-05,,45,18,                       Bi,rd-Garcia,,2,1904-11-05,0.0,, 6,22,,20241105-124110,,,,
501138,100270,2024-12-27,,,             RE,F139319292             BR,OOKS PLC,,0,,8941.02,, 3,99,,20241227-124122,,,,
501139,100111,2024-12-23,,,,                       Wr,"ight, Scott and Evans",,2,1904-12-23,437.89,, 1,08,,20241223-124122,,,,
501140,100126,2024-08-13,,,             RE,F814294636             Sa,ntana-Faulkner,,0,,0.0,, 1,25,,20240813-124081,,,,
501141,100449,2024-05-15,,,             RE,F659272833             Co,"oper, Henderson and Barrera",,2,1904-05-15,380.81,, 2,61,,20240515-124051,,,,
501142,100044,2023-12-15,,,             RE,F186257162             De,lgado-Gilmore,,2,1903-12-15,1686.38,, 3,64,,20231215-123121,,,,N
501143,100108,2024-01-13,,,             RE,F880607419             Ma,"rtin, Schmidt and Cole",,2,1904-01-13,117.18,, 7,61,,20240113-124011,,2022-09-18,,ON
501144,100161,2023-08-01,,,             RE,F736541762             Ev,ans-Joyce,,2,1903-08-01,48555.36,, 5,44,,20230801-123080,,,,
501145,100381,2024-06-09,,50,13,                       Fr,"ancis, Lewis and Carter",,2,1904-06-09,7043.74,, 8,04,,20240609-124060,,2018-08-16,,N
501146,100436,2024-08-26,,64,11,                       Mo,ore-Byrd,,2,1904-08-26,6273.5,, 8,14,,20240826-124082,,,,
501147,100376,2024-05-14,,,,                       Jo,hnson-Martin,,2,1904-05-14,10862.22,, 6,40,,20240514-124051,,,,
501148,100415,2023-07-23,,,             RE,F253928343             Ta,ylor and Sons,,2,1903-07-23,292.11,, 5,58,,20230723-123072,,,,ON
501149,100257,2023-09-24,,,             RE,F272816093             Ma,"rtin, Roberts and Cohen",,2,1903-09-24,0.0,, 9,05,,20230924-123092,,,,
501150,100155,2023-05-24,,,             RE,F981871594             Ru,iz-Gutierrez,,2,1903-05-24,1301.09,, 3,88,,20230524-123052,,,,ON
501151,100357,2024-08-09,,61,06,                       Da,"vis, Shelton and Vasquez",,0,,428.23,, 3,33,,20240809-124080,,,,N
501152,100217,2023-06-15,,,             RE,F950548276             Mo,sley-Gordon,,2,1903-06-15,9797.22,, 8,23,,20230615-123061,,,,
501153,100156,2024-07-02,,,             RE,F335025771             Go,nzalez-Perry,,2,1904-07-02,1209.71,, 5,08,,20240702-124070,,,,N
501154,100430,2023-05-02,,78,83,                       Pi,"ttman, Hines and Carr",,2,1903-05-02,8374.36,, 5,64,,20230502-123050,,,,ON
501155,100008,2023-04-22,,,             RE,F614131803             Go,mez PLC,,0,,1823.92,, 3,37,,20230422-123042,,,,ON
501156,100435,2024-07-30,,,             RE,F801582979             Pe,"rkins, Hammond and Cabrera",,0,,1797.61,, 9,12,,20240730-124073,,,,
501157,100410,2023-12-29,,,             RE,F189296846             Sc,hneider-Mcintyre,,2,1903-12-29,1322.25,, 7,86,,20231229-123122,,,,N
501158,100418,2023-07-22,,84,56,                       Co,"oper, Pena and Dominguez",,2,1903-07-22,819.0,, 1,41,,20230722-123072,,,,
501159,100235,2024-01-13,,,             RE,F697306388             Wa,"lsh, Henderson and Rasmussen",,2,1904-01-13,0.0,, 5,33,,20240113-124011,,,,
501160,100100,2023-07-31,,,,                       Cl,ark-Harris,,2,1903-07-31,1852.96,, 2,03,,20230731-123073,,2011-05-31,,N
501161,100442,2024-05-14,,,             RE,F716493046             Ba,"rton, Graves and Rodriguez",,2,1904-05-14,0.0,, 7,81,,20240514-124051,,,,
501162,100077,2024-06-09,,,             RE,F975668336             Ma,rtin-Kline,,2,1904-06-09,554.65,, 4,03,,20240609-124060,,,,
501163,100369,2023-06-18,,,             RE,F809105812             Mo,"ran, King and Costa",,0,,238.09,, 5,15,,20230618-123061,,,,N
501164,100173,2024-09-01,,74,22,                       Ca,"mpbell, Martin and Ferguson",,0,,0.0,, 8,15,,20240901-124090,,,,
501165,100069,2024-09-17,,73,13,                       Sa,"nchez, Phillips and Jenkins",,2,1904-09-17,1040.82,, 2,54,,20240917-124091,,,,
501166,100246,2023-05-27,,,             RE,F738795261             Jo,nes Group,,2,1903-05-27,0.0,, 1,03,,20230527-123052,,,,N
501167,100415,2024-10-10,,96,54,                       Ta,ylor and Sons,,2,1904-10-10,775.18,, 3,10,,20241010-124101,,,,
501168,100125,2023-12-02,,,             RE,F492057939             St,evenson Ltd,,2,1903-12-02,262.83,, 8,37,,20231202-123120,,,,ON
501169,100428,2023-05-24,,,             RE,F273187964             Ha,ll and Sons,,0,,524.06,, 1,89,,20230524-123052,,,,
501170,100099,2024-08-16,,,,                       An,drews-Green,,2,1904-08-16,36498.1,, 1,71,,20240816-124081,,,,
501171,100043,2024-11-07,,,             RE,F488579550             Bu,sh-Vaughn,,2,1904-11-07,0.0,, 6,39,,20241107-124110,,,,
501172,100151,2023-03-17,,,             RE,F787275819             Ga,rcia-Leonard,,2,1903-03-17,41955.56,, 9,84,,20230317-123031,,,,
501173,100394,2024-11-23,,,             RE,F154158559             Ag,"uirre, Clark and Edwards",,2,1904-11-23,1001.0,, 7,62,,20241123-124112,,,,N
501174,100057,2024-03-27,,63,58,                       Jo,hnson LLC,,2,1904-03-27,1489.92,, 2,87,,20240327-124032,,,,
501175,100456,2024-01-11,,,             RE,F263705262             Jo,hnston PLC,,2,1904-01-11,388.52,, 7,94,,20240111-124011,,,,ON
501176,100228,2023-11-22,,,             RE,F652538309             Wi,"lliams, Evans and Riggs",,2,1903-11-22,1708.27,, 7,09,,20231122-123112,,,,
501177,100164,2024-08-04,,75,24,                       Sa,"ndoval, Anderson and Carter",,2,1904-08-04,4289.42,, 8,71,,20240804-124080,,,,
501178,100267,2023-04-02,,61,79,                       Pa,"rks, King and Rogers",,2,1903-04-02,953.09,, 1,34,,20230402-123040,,,,N
501179,100413,2024-10-18,,,             RE,F685441008             Va,"lencia, Miller and Watkins",,2,1904-10-18,8741.72,, 8,05,,20241018-124101,,,,N
501180,100092,2024-02-17,,,             RE,F461553838             Ga,rcia PLC,,2,1904-02-17,9405.51,, 4,05,,20240217-124021,,,,N
501181,100020,2023-03-18,,,             RE,F377606092             Ry,an-Reed,,0,,247.5,, 9,22,,20230318-123031,,,,
501182,100181,2023-07-26,,,             RE,F215996861             SC,OTT-MILLER,,2,1903-07-26,3836.02,, 1,29,,20230726-123072,,,,ON
501183,100285,2024-05-20,,93,87,                       Ma,thews-Lopez,,2,1904-05-20,361.94,, 7,34,,20240520-124052,,,,ON
501184,100086,2023-10-02,,,             RE,F111167160             We,"bb, Romero and Morse",,2,1903-10-02,9043.77,, 8,78,,20231002-123100,,,,ON
501185,100077,2023-05-24,,82,97,                       Ma,rtin-Kline,,2,1903-05-24,334.26,, 6,15,,20230524-123052,,,,
501186,100481,2023-02-14,,,,                       Be,nson LLC,,2,1903-02-14,257.75,, 4,85,,20230214-123021,,,,
501187,100052,2023-12-10,,,             RE,F296475133             Kn,ight-Hodge,,2,1903-12-10,3193.52,, 8,89,,20231210-123121,,,,
501188,100149,2024-07-11,,,             RE,F412405855             Sa,"unders, Sparks and Harris",,2,1904-07-11,1131.07,, 2,79,,20240711-124071,,,,
501189,100013,2024-11-21,,73,30,                       El,liott and Sons,,2,1904-11-21,704.77,, 1,81,,20241121-124112,,,,
501190,100479,2024-09-17,,17,57,                       Ki,"rby, Wood and Ramirez",,2,1904-09-17,743.21,, 6,16,,20240917-124091,,,,ON
